"","review","score"
"1","Human Revolution is a smart, rewarding piece of transhumanist noir that does justice not just to Deus Ex, but to the fiction that inspired it.",0
"2","Shogun 2 is an expertly tuned turn-based strategy game filled with exhilarating real-time tactical battles against a capable artificial intelligence or others online.",0
"3","DICE's adoration of and expertise with the online experience permeates every aspect of its multiplayer. Regardless of the narrative missteps or the occasional glitches, Battlefield 3 offers an unforgettable, world-class multiplayer suite that's sure to excite shooter fans, whether they fired their first bullet in Battlefield 1942 or have just now heeded Battlefield's call of duty.",0
"4","An incredible achievement. Very few games are as original, atmospheric, and consistently brilliant. It belongs in everybody's collection. The journey may be over too quickly, but you will be entertained every minute. This is one of my favorite games.",0
"5","The Witcher 2 is alternately offensive and endearing, grimy and gorgeous, and never ceases to surprise. It's one of the great titles of 2011, and one of the best role-playing games in years.",0
"6","The shocking moments, the gruesome deaths, and the fun of playing through this experience again and again are what I took away from this one.",0
"7","This game is amazing and you owe it to yourself to download it.",0
"8","It's a beautiful, engrossing experience that avoids the anemic, scripted playbook made law by the 500 pound shooter gorilla.",0
"9","In Dirt 3 a few scratches tarnish an otherwise impeccable product. It's a superb racing experience and shouldn't be missed.",0
"10","A great game. It's not only the best launch game for the Nintendo 3DS, but will certainly be regarded as a great purchase for years to come.",0
"11","The subtle tension that builds as strategic plans are hashed out and executed simultaneously on the battlefield is priceless, resulting in a fresh, chaotic experience you'll want to dive into over and over again.",0
"12","Though the character roster should have been larger, and a cheap blue shell can still screw up an otherwise perfect race, MK7 still offers enough innovation to keep this old formula feeling fresh. With memorable new tracks, well implemented gyro controls, the triumphant return of coins and a handful of new modes, Mario Kart 7 is full of win.",0
"13","A stand-out, wonderfully crafted MMO. The story elements deliver on every front, the vocal performances are excellent, and some genuinely clever innovations have been applied to PvP combat. There's also a massive volume of content to keep you hooked for a long time. But it's important to keep in mind that The Old Republic doesn't stray too far from standard MMO mechanics.",0
"14","Saints Row: The Third gives the people what they want and drops us into an open world adult theme park where we can treat ourselves to delightful acts of bloodshed and perversion. It doesn't take itself too seriously and only asks that you don't, either.",0
"15","Considering Super Street Fighter IV was never released on PC, the additions offered in the Arcade Edition are substantial.",0
"16","When a game is this colossal, this rich, it's hard to see how it could possibly be bettered, match engine excepted.",0
"17","Trine 2 throws players into a dazzling fantasy world and gives them three fun tools with which to save it. It's delightfully open-ended, from how you solve problems to whether or not you go it alone. Fans of puzzle games will not be disappointed.",0
"18","There's a steep learning curve, but once you're comfortable with what Rift offers, you will find a deeply immersive experience. Telara is a worthy alternative to Azeroth for anyone looking to explore a new world.",0
"19","A violent and immersive racer that recreates the driving experience like no other game on the market. In doing so it builds well on the first Shift's foundations, benefitting from Slightly Mad Studios' more refined touch and the inclusion of Autolog, but its handling is still too loose and its steps forward too small for it to truly beat Gran Turismo and Forza – although it does enough to ensure that it's pulled ever closer.",0
"20","Sure, I was lured in by Anno 2070's good looks, but its brains and depth that make this one a real beauty. She's a keeper.",0
"21","Orcs Must Die embellishes your devious side, encouraging you to devise clever ways of fulfilling the command of the title. For the not-so-clever, mowing down invaders with an automatic crossbow is also a great time.",0
"22","Though on the surface it looks like just another ""me too"" indie game seeking to ride the coattails of Minecraft's success, Terraria expands on the familiar sandbox gameplay with a greater emphasis on combat and adventure that proves very satisfying.",0
"23","The awesome performances and great facial capture make every interrogation and investigation a riveting affair.",0
"24","A must-own for anyone who loves adventure games, with its stellar writing, gorgeous art, and quotable humor. Throw in the smooth interface, the lack of any normal issues of the genre, and its solid cast, it appeals to gamers of all skills and experience.",0
"25","A brilliant, touching game that is truly special, and that all gamers should make it a point to play.",0
"26","Having done all the writing, animation and programming himself, Gemini Rue took Josh Nuernberger a total of three years to make-the same amount of time it takes some triple-A titles to hit the shelves. If only more triple-A games turned out this well.",0
"27","The combat is more responsive and bloody, you don't need to fight the inventory system anymore, and conversations are more engaging thanks to the adapted Mass Effect wheel. There are downsides though; the semi-linear story and repetitive environments have a negative effect on what is otherwise a great role-playing game.",0
"28","This impressive remake of Star Fox 64 manages to improve upon the original without compromising the magic that made it so memorable to begin with. It's too bad the multiplayer doesn't support online, because otherwise it's the perfect remake of this classic title.",0
"29","It's certainly not a game without its issues, but it's still a great title, and at $10, it's also a total steal.",0
"30","The level of polish found in the graphics and gameplay alike is outstanding for an indie title. Peculiar ideas and inventive mechanics make this quirky bullet-hell shooter a frenzied, fun affair.",0
"31","It's a game about community and sharing and Nadeo does a good job of wrapping up the whole of the Trackmania experience – local multiplayer, online competition, track and car editors and worldwide rankings – into one package.",0
"32","The PC version understandably has some varied controls when using a mouse and keyboard (though it plays just fine with intuitive use of the number keys).",0
"33","It makes warfare into something violently beautiful, and pays homage to the nerdy lore that Warhammer fans like me can't get enough of.",0
"34","Another fine example of what a small development team can accomplish with enough ambition and talent. The game is good-looking, entertaining and boasts a fluidity of play many bigger games would envy.",0
"35","Dungeons of Dredmor's voluminous depths are littered with an abundance of wacky treasure to horde and enticing weaponry to cleaving all sorts of evil beasties in twain with.",0
"36","Despite the lack of genuinely exciting context, all the content packed into Rage is still a blast to play, including the surprisingly entertaining car combat mode and co-operative challenges. Rage isn't revolutionary, but is an expertly crafted, beautiful shooter.",0
"37","Despite its flaws, Call of Duty: Modern Warfare 3 takes the fantastic series we've come to love over the years and iterates on it with great success. The multiplayer is hands-down the best it has ever been, with more features, more modes and a ton of new levels. The singleplayer campaign and Spec Ops mode add value to the overall package, creating something that may not be perfect, but is too damn addicting to pass up.",0
"38","I'm having a blast with Tropico 4, but I know it's not for everyone. Tracking stats, managing an economy and building a million projects at once keeps me engaged, but without a little patience to learn the interface it'll overwhelm many a strategy newcomer.",0
"39","It feels refreshing to be able to say that Sonic is good again. His upward trajectory over the last year continues and he's only gaining momentum. Sonic Generations is largely a game for the most hardcore of Sonic fans, but for the millions who have fond memories of narrowly dodging spikes, grinding on rails, or even that time he was a pinball, Sonic Generations is a game made for you.",0
"40","This edition shows vast improvement.",0
"41","The Sims Medieval has successfully breathed new life into a franchise that was getting pretty stale.",0
"42","Memorable, beautiful and unique, something that stays in your mind long after you've moved on to something else.",0
"43","It features familiar characters and setting but keeps everything fresh with new people, places and pacing.",0
"44","An intriguing action puzzler that is as cute as it is challenging. While the campaign probably won't take you more than five or six hours to get through (and a lot less than that if you know what you're doing), the bonus levels and community levels will keep you entertained as long as you wish.",0
"45","An incredibly strong debut for 3DSWare. Grab this one quickly, 3DS owners, and start recapturing some of that old Mario Golf magic.",0
"46","While the game doesn't do much of note besides bringing the 2008 title to the HD era, it doesn't need to. The story hooks you, dungeon crawling makes for a great time, and exploring your relationships while building a better army is the kind of tinkering you can get lose hours to.",0
"47","It's a shame that Dishonored's story isn't greater than the sum of its decidedly memorable parts, but its gameplay absolutely is.",0
"48","ArenaNet has built one of the most exhaustively detailed and rewarding MMOs in existence, one that never unfairly penalizes and fosters an incredible urge to explore through a generous reward system and achingly pretty environment design.",0
"49","Using player choice, award-winning writing, and your own emotions, The Walking Dead: The Game delivers an experience that's flawed but unforgettable.",0
"50","The one thing worth pointing out between the various platforms is how cool Borderlands 2 can look if you have an awesome PC. The PC version allows plenty of tweaks to draw distance, frame rate and more.",0
"51","With plenty of options, great tutorials and an easy-to-master interface, Colors! 3D is the 3D painting application 3DS owners have been waiting for.",0
"52","Far Cry 3 is important for the same reason as Far Cry 2. It's a shooter that considers shooters thoughtfully, both in the way they're designed and the way we play them, and then asks us to do the same.",0
"53","Rayman Origins takes on a genre mastery of ground work laid down decades ago and elevates it to astronomical new standards. It's a spectacular living painting that's as much fun to play as it is to look at, and it's a total triumph.",0
"54","Torchlight II doesn't do anything radically new, but does everything incredibly well. It fits all the pieces of varied monster behavior, interesting items, excellent skill design and random surprises together into a near-perfect formula, where the action never stops and rewards are never far away.",0
"55","The definitive LittleBigPlanet game...Yes, the jumping is still floaty, the creation complicated and the load times a bit too long, but that doesn't stop LittleBigPlanet PS Vita from being an amazing experience.",0
