"","review","score"
"1","Despite the disappointing multiplayer options, the clichéd characters, and the sometimes repetitious nature of the campaign, the strategy gameplay of Shadow Wars is fun enough to make it a worthy recommendation for any turn-based enthusiast.",1
"2","Prejudice certainly does a lot – it just doesn't do very much well.",1
"3","While the timer on my save read around 14 hours by the time I screamed and shouted and pushed my way through Two Worlds II's final (miserable, cheap, and poorly designed) boss encounter, I would put my play time in the neighborhood of 35 hours, at least. This is courtesy of Two Worlds II's propensity to greet exploration with quick, brutal death.",1
"4","The[] ability to tear apart and repair the environments at will is a hook that keeps working, and when the campaign gives you plenty of stuff to tear apart it's easy to lose yourself to a primal need to destroy.",1
"5","It's funny, it clever, and it answers a lot of questions I had. I enjoyed playing it, but I didn't love it. The story isn't as grounded as I'd like it to be at certain points, so it throws the balance of sincere/goofy off. I wanted the conclusion of the serious movie feelings episode one started, but I got the comical ending of a Saturday morning cartoon.",1
"6","For a game that tries so hard to get under your skin, Fable III rarely manages to do much more than scratch the surface.",1
"7","Through questionable level design, graphical inconsistency, and repetitive gameplay, I was pulled out of the experience more than I would have liked. Alice: Madness Returns is a memorable peek through a flawed looking glass.",1
"8","With a level-headed team of four, Magicka's cooperative action is entrancing chaos. It's rare for a game to feel this mechanically satisfying.",1
"9","Serious Sam 3: BFE will ultimately exhaust its players by virtue of its screen-filling mega-confrontations, its non-stop repetition and the sense that you are almost always mercilessly outgunned. Sam 3 is good but could have been better.",1
"10","DCUO is far from a bad game; there are indeed times when it shines fantastically with the potential for greatness, but its many faults, most minor but some quite large, ensure that it never reaches those heights.",1
"11","A dungeon crawler with a boring loot table, poorly implemented multiplayer, and little lasting incentive to continue running around the world once the tedious story ends.",1
"12","I'm a fan of games that give you control of your character's life (see: buying houses, decorating, pimping sweet rides), but the driving is missing the raw energy it needs to stay interesting and the rest of the experience is bug-ridden.",1
"13","There's something kind of addictive about teaching your fake dog new tricks. For repeat customers, unless your kid is still playing the first game religiously, I don't see the upgraded version holding their interest for nearly as long.",1
"14","There's something kind of addictive about teaching your fake dog new tricks. For repeat customers, unless your kid is still playing the first game religiously, I don't see the upgraded version holding their interest for nearly as long.",1
"15","There's something kind of addictive about teaching your fake dog new tricks. For repeat customers, unless your kid is still playing the first game religiously, I don't see the upgraded version holding their interest for nearly as long.",1
"16","It's just disappointing that the developers only added a handful of mostly inconsequential extra modes in the interim, and didn't take that extra time available to fix a few of the first versions' flaws.",1
"17","For its effective use of 3D gameplay and its simple yet refined design, PilotWings deserves a good deal of credit.",1
"18","There's a lot of talking and gathering things for other people. It's rather ho-hum.",1
"19","Caught somewhere between massively-multiplayer online role-playing game and hardcore competitive real-time strategy, Age of Empires Online delivers some of the most addictive parts of both. Some sloppy mechanics and balance and reward issues detract from the core Age of Empires experience, but not to the point that it's not worth playing.",1
"20","Sanctum nicely upgrades Tower Defense genre but unfortunately doesn't dig much fun out of a good idea. [Issue#204]",1
"21","The lack of feedback, in-game competition, and unpredictability hurt the game's long-term draw; some older business simulations didn't have these problems. Cities in Motion does feature stellar tools and is one of the prettier business simulations on the market.",1
"22","An online shooter needs variety, depth, and addictiveness to succeed over the long term. Brink might find a niche with some hardcore fans, but it isn't for everyone. The PC version feels more complete than its console counterpart, but my qualms over content remain the same. Brink has heart, but the overall package is lacking.",1
"23","The majority of the new features introduced in The Sims 3: Generations are enjoyable enough to fiddle with, but none of them are major game changers.",1
"24","The content of Dead Money can get frustrating quickly. Still, for the patient souls out there, this fresh spin on Fallout is a decent buy.",1
"25","Sequence is sort of like serving someone a ham sandwich on a silver tray with all sorts of accoutrements. It's nice that it's a silver tray and not a paper plate, but I'm still eating a ham sandwich here.",1
"26","Homefront is certainly one of the most unique shooters I've ever played, driven by an ingenious and surprisingly well-fleshed out plot and a dark and dreary, realistic setting. But it also controls and feels like a typical shooter, looks like a game that's several years old, and most importantly, has an inexcusably brief campaign.",1
"27","Q.U.B.E. offers some short-term fun for puzzle fans and not a lot else. With so little emphasis put on story I can't help but feel that Q.U.B.E. may have benefitted from having no story elements at all, instead of loosely hinting at some bigger picture that goes unseen.",1
"28","Delivers an interesting and fun variation of a traditional card game and turns it into a competitive puzzle with myriad nuances to its strategy. Unfortunately, it doesn't do enough to keep the variation fresh throughout.",1
"29","And so it is that Freakyforms still leaves me scratching my head, even five months later. You're welcome to try it for yourself to see if you have better luck at understanding its madness, but I'd recommend most 3DS owners save the seven bucks to spend on surer bets.",1
"30","TwinBee is sort of fun and funny as it is.",1
