"","review","score"
"1","Makes the original look like the prototype it was. It's filled with a larger cast of characters vividly brought to life through brilliant writing and some of the best voice acting in video games...From the beginning of the single-player story to the end of the co-op mode, Portal 2 is a novel, unforgettable experience.",1
"2","Featuring the same kind of thrilling freedom of choice The Elder Scrolls series is known for along with beautiful visuals and a stirring soundtrack, playing Skyrim is a rare kind of intensely personal, deeply rewarding experience, and one of the best role-playing games yet produced.",1
"3","If the graphical boost isn't enough - and let's be honest, we're already seeing some games on the 3DS that look better than this - you're not going to have much else to satisfy your interests. It's clear this game is being released to find a new generation of gamers that are just discovering Nintendo's franchises. The rest of us will have to determine if it's worth re-visiting a Hyrule we've known for nearly 13 years.",1
"4","The voice acting, the challenges, the amazing opening, the unbelievable ending and the feeling of being the Dark Knight -- these are the things that standout looking back. I've beaten this thing twice and still want to call in sick and chase Riddler Trophies.",1
"5","With an expertly balanced difficulty progression, dazzling level design and masterful Power-Ups, this is the ideal 3DS experience...As a whole, 3D Land is brilliant and addictive, and should do for 3D-enhanced platforming what the original Super Mario Bros. did for 2D platforming. If you own a 3DS system, you have no choice - you simply must own this game.",1
"6","Human Revolution is a smart, rewarding piece of transhumanist noir that does justice not just to Deus Ex, but to the fiction that inspired it.",1
"7","Buy it. Love it. And get to work making some of your very own Pushmo, because I want to play them.",1
"8","Shogun 2 is an expertly tuned turn-based strategy game filled with exhilarating real-time tactical battles against a capable artificial intelligence or others online.",1
"9","DICE's adoration of and expertise with the online experience permeates every aspect of its multiplayer. Regardless of the narrative missteps or the occasional glitches, Battlefield 3 offers an unforgettable, world-class multiplayer suite that's sure to excite shooter fans, whether they fired their first bullet in Battlefield 1942 or have just now heeded Battlefield's call of duty.",1
"10","An incredible achievement. Very few games are as original, atmospheric, and consistently brilliant. It belongs in everybody's collection. The journey may be over too quickly, but you will be entertained every minute. This is one of my favorite games.",1
"11","The game doesn't advance the wider narrative very far, the new mechanics don't really add a great deal and the mission designs rarely explore new gameplay possibilities...That said, there's a lot to like; the game is undeniably solid, while the multiplayer offers a unique experience.",1
"12","The Witcher 2 is alternately offensive and endearing, grimy and gorgeous, and never ceases to surprise. It's one of the great titles of 2011, and one of the best role-playing games in years.",1
"13","The shocking moments, the gruesome deaths, and the fun of playing through this experience again and again are what I took away from this one.",1
"14","This game is amazing and you owe it to yourself to download it.",1
"15","It's a beautiful, engrossing experience that avoids the anemic, scripted playbook made law by the 500 pound shooter gorilla.",1
"16","In Dirt 3 a few scratches tarnish an otherwise impeccable product. It's a superb racing experience and shouldn't be missed.",1
"17","A great game. It's not only the best launch game for the Nintendo 3DS, but will certainly be regarded as a great purchase for years to come.",1
"18","The subtle tension that builds as strategic plans are hashed out and executed simultaneously on the battlefield is priceless, resulting in a fresh, chaotic experience you'll want to dive into over and over again.",1
"19","Though the character roster should have been larger, and a cheap blue shell can still screw up an otherwise perfect race, MK7 still offers enough innovation to keep this old formula feeling fresh. With memorable new tracks, well implemented gyro controls, the triumphant return of coins and a handful of new modes, Mario Kart 7 is full of win.",1
"20","A stand-out, wonderfully crafted MMO. The story elements deliver on every front, the vocal performances are excellent, and some genuinely clever innovations have been applied to PvP combat. There's also a massive volume of content to keep you hooked for a long time. But it's important to keep in mind that The Old Republic doesn't stray too far from standard MMO mechanics.",1
"21","Saints Row: The Third gives the people what they want and drops us into an open world adult theme park where we can treat ourselves to delightful acts of bloodshed and perversion. It doesn't take itself too seriously and only asks that you don't, either.",1
"22","Considering Super Street Fighter IV was never released on PC, the additions offered in the Arcade Edition are substantial.",1
"23","When a game is this colossal, this rich, it's hard to see how it could possibly be bettered, match engine excepted.",1
"24","As it is, it reminds me of avant-garde art or haute cuisine; interesting and bold but made for a small group of devoted connoisseurs. Those of a certain palate are sure to love its humor, weirdness and replayability but the broader gaming audience is likely to find it more of an acquired taste.",1
"25","Trine 2 throws players into a dazzling fantasy world and gives them three fun tools with which to save it. It's delightfully open-ended, from how you solve problems to whether or not you go it alone. Fans of puzzle games will not be disappointed.",1
"26","There's a steep learning curve, but once you're comfortable with what Rift offers, you will find a deeply immersive experience. Telara is a worthy alternative to Azeroth for anyone looking to explore a new world.",1
"27","A violent and immersive racer that recreates the driving experience like no other game on the market. In doing so it builds well on the first Shift's foundations, benefitting from Slightly Mad Studios' more refined touch and the inclusion of Autolog, but its handling is still too loose and its steps forward too small for it to truly beat Gran Turismo and Forza – although it does enough to ensure that it's pulled ever closer.",1
"28","Sure, I was lured in by Anno 2070's good looks, but its brains and depth that make this one a real beauty. She's a keeper.",1
